date,retail_total,retail_food_services,retail_ecommerce,retail_building_materials,retail_general_merch,retail_total_mom,retail_total_yoy,year,month
2023-11-01,685328.0,91761.0,,40323.0,77597.0,-0.1195077446848214,3.922918517934426,2023,11
2023-12-01,686277.0,92021.0,,40720.0,92364.0,0.1384738402633534,5.295483174098559,2023,12
2024-01-01,680456.0,91512.0,283038.0,39535.0,66024.0,-0.8481997793893692,0.029841838257227415,2024,1
2024-02-01,685280.0,92074.0,,40215.0,67138.0,0.7089363603230758,1.9531296492460104,2024,2
2024-03-01,687641.0,91672.0,,40219.0,75370.0,0.3445307027784228,3.393622635778737,2024,3
2024-04-01,687602.0,91926.0,288822.0,39930.0,70405.0,-0.005671564086495717,2.551551542593966,2024,4
2024-05-01,692774.0,92402.0,,40171.0,77335.0,0.7521793130328192,2.8004071808660713,2024,5
2024-06-01,692449.0,92470.0,,40389.0,74844.0,-0.046912846036373246,2.2643058732833454,2024,6
2024-07-01,698835.0,93021.0,295249.0,40925.0,74570.0,0.9222339840190497,3.008590497977659,2024,7
2024-08-01,697039.0,93438.0,,40896.0,78018.0,-0.25699914858300366,1.7939262948061696,2024,8
2024-09-01,703055.0,94281.0,,41140.0,71270.0,0.863079397279054,1.9802640835621554,2024,9
2024-10-01,708290.0,95518.0,300357.0,41587.0,75941.0,0.7446074631429989,3.22700058879426,2024,10
2024-11-01,711853.0,95509.0,,41349.0,80808.0,0.5030425390729842,3.87040949735018,2024,11
2024-12-01,717265.0,95552.0,,40542.0,92765.0,0.7602693252680037,4.515377901343043,2024,12
2025-01-01,711260.0,96115.0,299909.0,39280.0,69627.0,-0.83720800540944,4.526964271018263,2025,1
2025-02-01,711575.0,94939.0,,39683.0,66830.0,0.044287602283277216,3.8371176745271907,2025,2
2025-03-01,723350.0,97825.0,,40547.0,75038.0,1.654779889681346,5.192971332424912,2025,3
2025-04-01,721789.0,98268.0,304464.0,40859.0,73888.0,-0.2158014792285945,4.971916893784489,2025,4
2025-05-01,716101.0,98064.0,,39744.0,79804.0,-0.7880419346928291,3.367187567662766,2025,5
2025-06-01,723033.0,98887.0,,40297.0,75629.0,0.9680198742914703,4.4167873735105445,2025,6
2025-07-01,727727.0,98980.0,310274.0,39989.0,76422.0,0.6492096487988874,4.1343092432405415,2025,7
2025-08-01,731700.0,99551.0,,40055.0,79847.0,0.545946488174831,4.972605550048126,2025,8
2025-09-01,732192.0,99797.0,,40045.0,72012.0,0.06724067240673204,4.14434148110745,2025,9
2025-10-01,731051.0,99705.0,,39749.0,78113.0,-0.15583344259428866,3.2135142385181226,2025,10
2025-11-01,734718.0,100241.0,,40320.0,81888.0,0.5016065910586232,3.212039564348257,2025,11
2025-12-01,734717.0,99887.0,,40762.0,93545.0,-0.00013610664227892144,2.4331314088934963,2025,12
2026-01-01,734503.0,99554.0,,41065.0,71911.0,-0.02912686109073359,3.267862666254251,2026,1
2026-02-01,739772.0,100081.0,,41312.0,67546.0,0.7173558174711436,3.9626181358254575,2026,2
2026-03-01,752063.0,100220.0,,41615.0,77287.0,1.6614578545822267,3.9694477085781443,2026,3
