date,cpi_all,cpi_core,cpi_food,cpi_energy,cpi_shelter,cpi_medical,cpi_transportation,cpi_apparel,core_pce,cpi_all_yoy,cpi_core_yoy,cpi_food_yoy,cpi_energy_yoy,cpi_shelter_yoy,cpi_medical_yoy,cpi_transportation_yoy,cpi_apparel_yoy,core_pce_yoy,year,month
2022-09-01,296.349,298.226,312.901,294.103,359.601,556.309,265.46,127.588,115.788,8.192106896425821,6.624287624509306,11.207821840591969,19.89425279859114,6.59360855117872,5.989056421160122,12.592781100224792,5.400203220130351,5.606479327988612,2022,9
2022-10-01,298.007,299.399,315.038,299.945,362.353,554.065,268.123,127.777,116.204,7.758813957693,6.294999786983246,10.939810967278474,17.738149444959106,6.905188996542244,5.006358393553301,11.227126968916323,4.248184710777525,5.459759683450094,2022,10
2022-11-01,298.786,300.325,316.62,298.107,364.695,551.498,267.391,128.338,116.539,7.122856456533988,5.969880665899807,10.64787472348514,13.005784729224645,7.091888272881031,4.146224473224036,7.790265493860504,3.8249332578270234,5.20808883271644,2022,11
2022-12-01,298.832,301.394,317.813,286.33,367.466,552.002,262.161,128.475,116.952,6.404600402357152,5.685531944736666,10.423818325851597,6.879831578318685,7.467880946740735,3.9463698933235314,3.572642008865423,2.9834953868844716,4.9668814733705435,2022,12
2023-01-01,300.42,302.642,319.3,292.615,369.911,550.992,263.597,129.43,117.505,6.327178517960097,5.539533472591773,10.074221672176709,8.300115844834544,7.890438607236816,3.0479058154648797,3.542318887260909,3.1512002295259744,4.937665213974429,2023,1
2023-02-01,301.45,304.123,320.543,288.702,372.636,549.313,263.822,130.239,117.929,5.957820738137087,5.498260329618088,9.438065681344089,4.859764203369155,8.10287057048782,2.372419551122573,2.322027653344194,3.3667468273054224,4.855603371625716,2023,2
2023-03-01,301.821,305.147,320.554,282.868,374.678,547.138,263.521,130.426,118.315,4.917719362889961,5.566741392671326,8.461626954856438,-6.6747168416919855,8.164643933532712,1.5004174009832338,-1.161586989625596,3.1500359845938464,4.783286394955444,2023,3
2023-04-01,302.845,306.534,321.213,280.86,376.404,546.99,265.284,130.573,118.734,4.950079879124369,5.514364195873522,7.667116937443663,-4.939838554094522,8.09062975619561,1.036987232533404,0.27252488065223623,3.5488271027296348,4.789642299240104,2023,4
2023-05-01,303.334,307.652,322.009,274.273,378.304,547.446,265.15,131.003,119.083,4.131851231385042,5.337547036084689,6.71206773707147,-11.253446022028657,8.023894644264473,0.7178811650942807,-1.6509582679589574,3.4019243367826135,4.731625374880166,2023,5
2023-06-01,304.014,308.322,322.365,275.712,380.155,547.299,265.787,131.118,119.39,3.070617072997095,4.853596327155252,5.750998904321691,-16.566199433510064,7.809912199106117,0.10205929315709739,-4.712618129149771,2.892523071128128,4.383786808421353,2023,6
2023-07-01,304.609,308.96,323.201,275.548,381.895,547.141,265.613,131.352,119.556,3.287749268428297,4.700970557935236,4.86967582002189,-12.342171817588966,7.673113792714559,-0.49195592947843814,-2.6023981518829453,3.106896714130958,4.299124123250864,2023,7
2023-08-01,306.082,309.58,324.042,287.31,382.947,547.687,270.442,131.16,119.689,3.722504803505289,4.399143440066089,4.2626305527133646,-3.694218837465768,7.2536465685286045,-0.9432051249588569,1.6787165807570004,2.9335593539577154,3.8282036156702226,2023,8
2023-09-01,307.276,310.539,324.379,292.623,385.285,548.398,271.893,130.338,120.058,3.687206638119256,4.128747996485882,3.668252897881441,-0.5032250606080257,7.142360560732608,-1.4220514138724938,2.423340616288705,2.155375113647051,3.687774208035388,2023,9
2023-10-01,307.696,311.457,325.442,286.765,386.771,549.793,270.239,131.274,120.241,3.2512659098611785,4.027401561127464,3.3024587510078085,-4.3941389254696706,6.738732672283665,-0.7710286699214031,0.789190035916354,2.7367992674738106,3.4740628549791763,2023,10
2023-11-01,308.148,312.392,325.93,282.146,388.525,552.42,269.558,130.099,120.374,3.1333462745911866,4.017980521102138,2.9404333270166116,-5.354117816757076,6.5342272309738325,0.1671810233219162,0.8104236866610881,1.3721578955570468,3.2907438711504255,2023,11
2023-12-01,308.741,313.195,326.434,280.763,390.139,554.406,269.187,129.942,120.592,3.3159099427102934,3.9154727698627045,2.7126014354353245,-1.944260119442609,6.170094648212343,0.4355056684577141,2.6800324991131497,1.141856392294227,3.1123879882344996,2023,12
2024-01-01,309.698,314.319,327.424,279.953,392.322,556.741,267.931,129.685,121.217,3.0883429864855705,3.8583540949372663,2.544315690573118,-4.327187601455851,6.05848433812457,1.0433908296309191,1.644176527046981,0.197017692961432,3.159014510020852,2024,1
2024-02-01,310.967,315.564,327.707,283.331,394.078,557.163,270.904,130.309,121.537,3.157074141648697,3.7619647313751337,2.2349575563964885,-1.8603958406938625,5.754140770081251,1.4290577503172086,2.684385684287127,0.0537473414261358,3.059467984974007,2024,2
2024-03-01,312.345,316.792,327.774,288.688,395.827,559.269,274.332,130.956,122.009,3.4868349120836584,3.8161935067360986,2.2523506179926045,2.057496782951773,5.644580146152167,2.2171737294795824,4.102519343809408,0.40636069495345595,3.122173857921662,2024,3
2024-04-01,313.023,317.649,328.449,287.611,397.196,561.275,274.564,132.237,122.304,3.3607951262196734,3.6260251717590952,2.2527108180553146,2.403688670511994,5.523852031328058,2.6115651108795435,3.4981378447249023,1.2743829122406458,3.006720905553606,2024,4
2024-05-01,313.175,318.095,328.949,284.165,398.689,564.191,272.306,132.027,122.383,3.244278584003113,3.394419668976645,2.1552192640578394,3.6066255154535876,5.388523515479626,3.0587491734344496,2.698849707712614,0.7816614886682061,2.7711764063720334,2024,5
2024-06-01,313.044,318.39,329.6,278.284,399.699,564.997,269.014,131.956,122.677,2.9702579486470926,3.2654173234475614,2.24435034820778,0.93285747446612,5.141060883060877,3.2336985815797137,1.2141301117060133,0.6391189615460924,2.7531619063573265,2024,6
2024-07-01,313.569,318.94,330.329,278.287,401.139,564.593,268.745,131.569,122.911,2.9414757935583014,3.2301916105644812,2.205438720796038,0.9940191908487828,5.0390814229042125,3.189671400973415,1.1791591526017164,0.16520494548997178,2.8062163337682744,2024,7
2024-08-01,314.062,319.75,330.748,275.706,402.895,564.183,268.745,131.415,123.128,2.607144490692037,3.2850959364300047,2.0694848198690385,-4.038843061501507,5.209075929567275,3.011939301097155,-0.6274912920330444,0.1944190301921278,2.873279917118543,2024,8
2024-09-01,314.732,320.732,331.753,272.681,403.956,566.256,268.853,132.539,123.466,2.4264830315416708,3.2823574494668994,2.2732667651111704,-6.814912019902741,4.846023073828465,3.256394078753022,-1.1180868944768552,1.6886863385965567,2.838627996468368,2024,9
2024-10-01,315.631,321.731,332.463,273.003,405.721,567.974,269.476,131.741,123.832,2.578844053871343,3.298689706765301,2.1573736641244956,-4.799051488152317,4.89954003790356,3.3068809533770116,-0.2823426670465645,0.35574447339155046,2.9865021082658982,2024,10
2024-11-01,316.528,322.657,333.629,273.281,407.114,569.476,270.397,131.692,123.962,2.719472461284833,3.2859356193500444,2.362163654772509,-3.141990317069887,4.784505501576475,3.087505883204811,0.31125026895881813,1.2244521479796378,2.980710120125618,2024,11
2024-12-01,317.604,323.259,334.464,279.829,408.165,570.11,273.39,131.568,124.196,2.870690967509981,3.2133335461932644,2.4599153274474927,-0.3326649166734863,4.620404522490706,2.832581176971405,1.5613681195600027,1.251327515353018,2.9885896245190446,2024,12
2025-01-01,318.961,324.638,335.441,282.272,409.579,571.366,276.016,130.436,124.587,2.9909783078999608,3.282970485398584,2.44850713448006,0.8283533307376745,4.398682714708846,2.6268947320208236,3.017567955928957,0.5790955006361509,2.7801380994415092,2025,1
2025-02-01,319.679,325.465,336.065,282.096,410.793,573.284,275.019,131.095,125.145,2.8015834477613355,3.13755688228059,2.5504490291632376,-0.4358859425901196,4.241546089860382,2.8934082126774285,1.5189882762897566,0.6031816681886903,2.9686432938117457,2025,2
2025-03-01,319.785,325.69,337.331,278.906,411.639,574.069,271.76,131.388,125.267,2.381981462805549,2.808783050077035,2.9157285202609184,-3.3884331873856866,3.99467444110686,2.6463115245078717,-0.9375501217502857,0.3298817923577557,2.670294814316976,2025,3
2025-04-01,320.302,326.467,337.493,277.343,413.04,576.548,270.662,131.201,125.502,2.32538823025783,2.7760200724699313,2.753547734960371,-3.5700998918678284,3.988962628022441,2.7211260077502075,-1.4211622791043377,-0.7834418506166951,2.614795918367352,2025,4
